quadrant,n,A_mean,T_mean,share_pct,policy
Dependence,1463,0.0167,0.7019,29.3,Long-term overhaul
Stress / balance,1468,0.1013,0.8088,29.4,Reinforce existing hub
Unsustained node,1029,0.0191,0.8111,20.6,Priority investment (close access gap)
Unsustained place,1034,0.0845,0.7202,20.7,Optimise current services
